"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"KSW4,KSW14,KSW40,KSW57,KSW39,KSW61,KSW43,KSW16,KSW41,KSW5,KSW22,KSW27,KSW1,KSW37,KSW34,KSW58,KSW59,KSW21,KSW52,KSW56,KSW17,KSW44,KSW6,KSW20,KSW15,KSW68,KSW62,KSW9,KSW36,KSW64,KSW51,KSW49,KSW33,KSW3,KSW65,KSW60,KSW23,KSW13,KSW46,KSW28,KSW67,KSW45,KSW32,KSW24,KSW26,KSW63,KSW55,KSW31,KSW30,KSW25,KSW10,KSW2,KSW11,KSW42,KSW53,KSW47,KSW19,KSW18,KSW35,KSW8,KSW66,KSW50,KSW54,KSW12,KSW7,KSW29,KSW38,KSW48";"1.00U_MX-MILLMAX_3305";68;"Keyswitch_&_Diode";;;
2;"SW2,SW1";"SW_TS-1187A-B-A-B";2;"SW_MEC_5E";;;
3;"C14,C12,C11,C13,C7,C8,C17,C20,C22,C21,C18,C9,C16,C19,C15,C6,C10";"C_0402_1005Metric_Pad0.74x0.62mm_HandSolder";17;"100nF";;;
4;"D71,D69,D70";"LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm";3;"SK6812MINI";;;
5;"KSWR1,KSWR2,KSWR4,KSWR3";"RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm";4;"EC11_RotaryEnc";;;
6;"R1,R5,R6";"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder";3;"10k";;;
7;"D30,D67,D55,D29,D64,D16,D27,D53,D44,D60,D31,D4,D41,D24,D23,D38,D19,D26,D48,D21,D33,D58,D49,D14,D50,D12,D47,D66,D17,D7,D3,D62,D68,D42,D54,D61,D28,D5,D22,D2,D6,D63,D39,D34,D40,D46,D37,D10,D52,D20,D51,D18,D25,D1,D65,D32,D57,D11,D45,D15,D8,D13,D9,D43,D56,D59,D36,D35";"D_SOD-123";68;"1N4148W";;;
8;"C2,C1";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";2;"22uF";;;
9;"R14,R2,R3,R13,R8,R11,R9,R12,R7,R10";"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder";10;"5k1";;;
10;"C4,C3";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"10pF";;;
11;"U1";"SOT-223-3_TabPin2";1;"AMS1117-3.3";;;
12;"U2";"TI_TPD4E05U06DQAR";1;"TPD4E05U06DQAR";;;
13;"Y1";"Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering";1;"16MHz";;;
14;"J2";"PinHeader_2x04_P2.54mm_Vertical";1;"Conn_02x04_Row_Letter_First";;;
15;"U3";"LQFP-48_7x7mm_P0.5mm";1;"STM32F103C8Tx";;;
16;"J1";"USB_C_Receptacle_HRO_TYPE-C-31-M-12";1;"USB C";;;
17;"D100";"D_SOD-123F";1;"D_TVS";;;
18;"R4";"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder";1;"1k5";;;
19;"F1";"Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"Polyfuse";;;
20;"C5";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";1;"10uF";;;
21;"Q1";"SOT-23";1;"BSS138";;;
